,title,mp3_url,midi_url,metadata
2620,"
	 Sinesten dut Jainko Aita         
	",https://bdb.bertsozale.eus/common/file/get/32882,https://bdb.bertsozale.eus/common/file/get/24004,"['Zortziko ertaina (hg) / Lau puntuko ertaina (ip)', 'AABD', '8/7']"
2621,"
	 Sinesten dut Jainko bat         
	",https://bdb.bertsozale.eus/common/file/get/32411,https://bdb.bertsozale.eus/common/file/get/20638,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABA', '7/6']"
2622,"
	 Sinispengo mirari         
	",https://bdb.bertsozale.eus/common/file/get/32449,https://bdb.bertsozale.eus/common/file/get/20641,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABA', '7/6']"
2623,"
	 Sinista zazu zutaz oroitu         
	",https://bdb.bertsozale.eus/common/file/get/32550,https://bdb.bertsozale.eus/common/file/get/23407,"['Zortziko handia (hg) / Lau puntuko handia (ip)', 'AABD', '9/1/4/2/2']"
2624,,,,[]
2625,"
	 Soinuzale ona da         
	",https://bdb.bertsozale.eus/common/file/get/32486,https://bdb.bertsozale.eus/common/file/get/20644,"['Zortzikoa, ertainaren moldekoa, 4 puntuz (hg) / Lau puntukoa, ertainaren moldekoa (ip)', 'A1A2BD', '13']"
2626,"
	 Soldadu joan behar det I         
	",https://bdb.bertsozale.eus/common/file/get/33073,https://bdb.bertsozale.eus/common/file/get/21865,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'ABDEB', '7/6']"
2627,"
	 Soldadu joan behar det II         
	",https://bdb.bertsozale.eus/common/file/get/33108,https://bdb.bertsozale.eus/common/file/get/21868,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'ABDAB', '7/6']"
2628,"
	 Soldadu joan behar det III         
	",https://bdb.bertsozale.eus/common/file/get/33146,https://bdb.bertsozale.eus/common/file/get/21871,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'ABDEB', '7/6']"
2629,,,,[]
2630,"
	 Sorlekua utziz geroz         / Gau eder batek ninduen         / Irrintzina   
	",https://bdb.bertsozale.eus/common/file/get/31384,https://bdb.bertsozale.eus/common/file/get/23677,"['Zortzikoa, handiaren moldekoa, 4 puntuz (hg) / Lau puntukoa, handiaren moldekoa (ip)', 'A1A2BD', '8/8/18/18']"
2631,"
	 Sorterako alaba dendaria         / Intxauspeko alaba dendaria      
	",https://bdb.bertsozale.eus/common/file/get/31686,https://bdb.bertsozale.eus/common/file/get/25243,"['Laukoa, berdinaren moldekoa, 4 puntuz (hg) / Lau puntukoa, berdinaren moldekoa (ip)', 'AABA2', '4/7/4/6/4']"
2632,"
	 Sortu naiz iparrean I         
	",https://bdb.bertsozale.eus/common/file/get/32522,https://bdb.bertsozale.eus/common/file/get/20647,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABD', '7/6']"
2633,,,,[]
2634,"
	 Sotera Mitxelena A         / Ni nazu luzaruan A      
	",https://bdb.bertsozale.eus/common/file/get/32595,https://bdb.bertsozale.eus/common/file/get/20650,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BA2', '7/6']"
2635,"
	 Sotera Mitxelena B         / Ni nazu luzaruan B      
	",https://bdb.bertsozale.eus/common/file/get/32634,https://bdb.bertsozale.eus/common/file/get/20653,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BA2', '7/6']"
2636,,,,[]
2637,"
	 Subia dabil errest errest         
	",https://bdb.bertsozale.eus/common/file/get/33376,https://bdb.bertsozale.eus/common/file/get/22336,"['A1A2', '1/8/1/1/7']"
2638,"
	 Sugea dabil bularrez         
	",https://bdb.bertsozale.eus/common/file/get/31354,https://bdb.bertsozale.eus/common/file/get/24445,"['Seikoa, handiaren moldekoa, 4 puntuz (hg) / Lau puntukoa, handiaren moldekoa (ip)', 'AABAB', '8/8/18/18']"
2639,"
	 Sujet berri bat gertatu izan da         
	",https://bdb.bertsozale.eus/common/file/get/32851,https://bdb.bertsozale.eus/common/file/get/22678,"['Seiko handia (hg) / Hiru puntuko handia (ip)', 'ABA', '4/5/5/4']"
2640,"
	 Sujet eder bat deklaratzen da         
	",https://bdb.bertsozale.eus/common/file/get/32588,https://bdb.bertsozale.eus/common/file/get/23410,"['Zortziko handia (hg) / Lau puntuko handia (ip)', 'AABA2', '18']"
2641,"
	 Sujeta dire Kanboko         
	",https://bdb.bertsozale.eus/common/file/get/32514,https://bdb.bertsozale.eus/common/file/get/26848,"['Seikoa, handiaren moldekoa, 4 puntuz (hg) / Lau puntukoa, handiaren moldekoa (ip)', 'ABDAB', '8/8/18/8/']"
