title,mp3_url,midi_url,Mota,Errima,Silabak
"
	 Atzo probetxu gabe         / Zenbait damaren esker txarra      
	",https://bdb.bertsozale.eus/common/file/get/30827,https://bdb.bertsozale.eus/common/file/get/19033,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Aurten Oiartzun hontan         / Oiartzungo festak      
	",https://bdb.bertsozale.eus/common/file/get/33320,https://bdb.bertsozale.eus/common/file/get/25411,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Azienda gazte bat         
	",https://bdb.bertsozale.eus/common/file/get/33470,https://bdb.bertsozale.eus/common/file/get/25420,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Bakardade haundi bat         
	",https://bdb.bertsozale.eus/common/file/get/33543,https://bdb.bertsozale.eus/common/file/get/25426,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Barku xinple batean         / Baserrin jaio eta          / Arraunak bizkarrian   
	",https://bdb.bertsozale.eus/common/file/get/31804,https://bdb.bertsozale.eus/common/file/get/19102,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Baserritar bat eta         
	",https://bdb.bertsozale.eus/common/file/get/31916,https://bdb.bertsozale.eus/common/file/get/19108,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Begientzat bakarrik         / Abenduaren seian         / Pello ikazkina   
	",https://bdb.bertsozale.eus/common/file/get/32253,https://bdb.bertsozale.eus/common/file/get/19135,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Behin batean Loiolan I         / Ja jai      
	",https://bdb.bertsozale.eus/common/file/get/32445,https://bdb.bertsozale.eus/common/file/get/19147,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDEDE, '7/6'
"
	 Beltzeran graziosa         
	",https://bdb.bertsozale.eus/common/file/get/32852,https://bdb.bertsozale.eus/common/file/get/19177,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Beltzerana naizela         
	",https://bdb.bertsozale.eus/common/file/get/32890,https://bdb.bertsozale.eus/common/file/get/19180,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Besta eder huntara         
	",https://bdb.bertsozale.eus/common/file/get/33142,https://bdb.bertsozale.eus/common/file/get/19198,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Beti ez da alaia         
	",https://bdb.bertsozale.eus/common/file/get/33255,https://bdb.bertsozale.eus/common/file/get/27079,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Bi maitetasun dauzkat         
	",https://bdb.bertsozale.eus/common/file/get/33355,https://bdb.bertsozale.eus/common/file/get/19216,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Bihotz bakar bat daukat         
	",https://bdb.bertsozale.eus/common/file/get/33541,https://bdb.bertsozale.eus/common/file/get/19228,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Bihotz baten ordean         / Batzuetan jartzen naiz         / Ai Isabel Isabel   
	",https://bdb.bertsozale.eus/common/file/get/30803,https://bdb.bertsozale.eus/common/file/get/19231,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Bihotzaren ametsak         / Lejos de aquel instante         / Maite   
	",https://bdb.bertsozale.eus/common/file/get/30837,https://bdb.bertsozale.eus/common/file/get/19234,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Birjina Junkaleko         
	",https://bdb.bertsozale.eus/common/file/get/31172,https://bdb.bertsozale.eus/common/file/get/19258,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Bizkaiko tierras tienes         
	",https://bdb.bertsozale.eus/common/file/get/31488,https://bdb.bertsozale.eus/common/file/get/25450,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Biztuko balitzete         / Aintxinarik hona      
	",https://bdb.bertsozale.eus/common/file/get/31243,https://bdb.bertsozale.eus/common/file/get/19264,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Dama bat bihotzean         
	",https://bdb.bertsozale.eus/common/file/get/31774,https://bdb.bertsozale.eus/common/file/get/19306,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Dama gazte polit bat II         / Pozez ta bildurrak II       
	",https://bdb.bertsozale.eus/common/file/get/31888,https://bdb.bertsozale.eus/common/file/get/19315,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Dama gazte xarmant bat         
	",https://bdb.bertsozale.eus/common/file/get/32379,https://bdb.bertsozale.eus/common/file/get/19318,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Donostiarrak maite         
	",https://bdb.bertsozale.eus/common/file/get/32788,https://bdb.bertsozale.eus/common/file/get/19348,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Donostiko Reala         
	",https://bdb.bertsozale.eus/common/file/get/32824,https://bdb.bertsozale.eus/common/file/get/19351,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Dozena bat bertsotan         
	",https://bdb.bertsozale.eus/common/file/get/32862,https://bdb.bertsozale.eus/common/file/get/19354,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Durangoko Mikeldin         
	",https://bdb.bertsozale.eus/common/file/get/33048,https://bdb.bertsozale.eus/common/file/get/19369,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Egin nuen amets bat         
	",https://bdb.bertsozale.eus/common/file/get/33189,https://bdb.bertsozale.eus/common/file/get/19378,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Eguarri bezperan         
	",https://bdb.bertsozale.eus/common/file/get/31702,https://bdb.bertsozale.eus/common/file/get/25468,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Egun abiatu naiz         
	",https://bdb.bertsozale.eus/common/file/get/31738,https://bdb.bertsozale.eus/common/file/get/25471,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Egunez eguneko         
	",https://bdb.bertsozale.eus/common/file/get/33224,https://bdb.bertsozale.eus/common/file/get/19381,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
